event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,country_code,admin_division_name,admin_division_population,longitude,latitude,temp,humidity,wind
22-05-2016 00:00,unknown,rain,medium,above_road,0,0,CR,San José,0,-83.9717,10.1557,21.5,92,5.5
26-06-2014 23:00,landslide,continuous_rain,medium,above_road,0,0,IN,Arunachal Pradesh,0,95.3429,28.9205,3.5,93,3.5
12-06-2016 23:00,landslide,downpour,medium,above_road,0,0,IN,Arunachal Pradesh,13893,93.871,27.6438,19,89,0.7
25-02-2015 00:00,landslide,snowfall_snowmelt,medium,above_road,0,0,PK,Khyber Pakhtunkhwa,0,72.0406,36.0739,4.6,79,1.3
27-12-2014 00:00,landslide,downpour,medium,above_road,0,0,ID,Aceh,24519,95.3103,5.8305,24.8,91,5.8
10-06-2016 15:00,landslide,construction,large,above_road,5,0,CO,Chocó,75104,-76.3187,5.7216,24.8,91,4.5
19-09-2014 00:00,landslide,downpour,large,natural_slope,0,0,US,Alaska,8881,-135.3549,57.1225,15,91,17.4
17-11-2015 00:00,landslide,rain,medium,natural_slope,5,0,KE,Narok,36061,35.8736,-1.1161,13.5,99,4.9
17-05-2014 00:00,other,rain,medium,above_river,8,0,GE,Mtskheta-Mtianeti,2628,44.5015,42.7204,-5.4,72,5.4
14-05-2015 09:00,landslide,downpour,small,above_road,0,0,IN,Kashmir,3857,74.4838,33.6303,11.8,87,0.5
16-06-2016 23:00,mudslide,downpour,medium,above_road,0,0,KG,Jalal-Abad,23594,72.3374,41.485,18.8,84,7.9
18-08-2015 09:00,landslide,continuous_rain,medium,urban,0,0,IN,Meghalaya,63645,90.2023,25.5145,28.2,86,11.3
13-07-2015 23:00,landslide,continuous_rain,small,above_road,1,0,IN,Himachal Pradesh,8341,78.037,32.2473,6.2,97,3.2
11-06-2015 00:00,landslide,downpour,large,natural_slope,53,8,NP,Eastern Region,22903,87.6681,27.36,18.3,99,3.3
03-01-2014 01:00,rock_fall,downpour,medium,above_road,0,0,US,Hawaii,1341,-158.2278,21.52,25.7,81,27.6
09-04-2015 00:00,landslide,rain,small,above_road,0,0,US,California,63522,-117.6454,33.4418,18.7,38,23.5
09-07-2016 00:00,landslide,monsoon,unknown,other,0,0,PH,Central Luzon,221178,120.2652,14.8489,26.5,90,21.9
22-08-2014 22:30,other,downpour,medium,above_road,0,0,IN,Tamil Nadu,20436,77.571,11.683,24.5,92,3.1
18-06-2016 00:00,mudslide,downpour,medium,above_road,0,0,IN,Goa,12444,74.1623,15.0275,25.4,91,9.8
30-08-2011 00:00,landslide,continuous_rain,medium,above_road,0,0,IN,Maharashtra,51437,73.5097,17.4303,25,92,16.6
14-12-2015 09:00,rock_fall,snowfall_snowmelt,small,above_road,0,0,US,Washington,1018,-121.4332,47.4186,0.7,93,5.1
22-05-2016 00:00,landslide,earthquake,small,above_road,0,0,TW,Taiwan,0,120.685,22.7496,23.6,93,8
08-04-2015 00:00,landslide,continuous_rain,small,above_road,0,3,IN,Kashmir,0,73.9593,34.6609,5.4,84,1.8
06-04-2016 09:00,mudslide,other,medium,urban,0,0,US,California,57065,-117.0727241,32.76766801,15.9,73,4.9
